name,description,category,meeting_time,location,image_url
American Sign Language,Learn basic words and phrases to communicate in sign language. Each week features themed activities with snacks. Members can interact with Berkeley's deaf community staff. Earns 5 Global Scholars points through International Sign incorporation.,service,Mondays,G113,/placeholder.svg?key=asl
Art Club,A welcoming space for students in grades 9-12 to experiment and build community outside of art classes. Student-led meetings with interactive projects and occasional community service opportunities. Open studio hours available.,arts,Wednesdays during Lunch,G118,/placeholder.svg?key=art
Beekeeping Club,Learn about honey bees and their environmental role while maintaining hives on campus. Includes after-school and Saturday commitments. Permission waiver required; students with bee allergies cannot participate.,hobby,Thursday Lunch (Day 1 or 4),G118 and CERES,/placeholder.svg?key=beekeeping
Berkeley Broadcast Network,"Student-run club that live streams sports, arts, and campus events for Berkeley fans to watch online. Share activities happening on and around campus with the Berkeley community.",technology,Mondays Lunch,G116 Digital Lab,/placeholder.svg?key=broadcast
Berkeley Pharm-Aware Club,"Educate students about drug science, effects on the human body, and substance interactions through lectures, discussions, and expert speakers. Learn about pharmacology, drug safety, and societal implications.",academic,"Thursdays, 12:45 PM (Bi-weekly)",G225,/placeholder.svg?key=pharma
Berkeley Red Cross Club,"Extension of the Red Cross with access to their resources, training, and service opportunities. Educate the community about disaster relief, first aid, and humanitarian issues through local service and virtual training.",service,Thursdays during lunch,G217,/placeholder.svg?key=redcross
Buccaneer Yearbook,Create the permanent record of Berkeley Preparatory School as a memory book and history publication. Student-planned publication capturing lives and experiences of students and faculty throughout the year.,arts,"Monday/Wednesday after school, Tuesday lunch, 1 Saturday/month",Yearbook Room / U252,/placeholder.svg?key=yearbook
Chat and Chew,"Fellowship group for students who identify as Black or African American. Cultivate relationships, celebrate the Black American experience, and share challenges in identity development through dialogues and activities.",service,"Wednesdays, 12:45 PM",Doster Study Hall (G201),/placeholder.svg?key=chatchew
Chess Club,Learn and enhance abilities in chess with students from all skill levels. Experienced players share tricks and insights. Hosts tournaments for the Berkeley community to increase interest in this strategic board game.,hobby,Wednesdays at lunch,G209,/placeholder.svg?key=chess
Chinese Club,"Explore Chinese Language and Culture through movies, popular topics, games, sports, and cultural festivals. Events include Ping Pong Tournament, Chinese Movie Night, and Chinese New Year Celebration.",hobby,Tuesdays,S206,/placeholder.svg?key=chinese
Community Service Council,"Help students make a positive difference through meaningful service work. Create and manage UD service projects, serve as student voice for service policies, and advise about opportunities.",service,Every other Tuesday during lunch,Doster,/placeholder.svg?key=service
Computer Science Club,"Explore computer science through CodingBat challenges, Hour of Code, game development projects, guest speakers, and competitions like UF High School Programming Contest and Hackathons.",technology,"Thursdays, 12:45 PM",U135,/placeholder.svg?key=coding
Cooking Club,"Learn to create and execute dishes, share recipes and cooking tips. Meet bi-weekly to practice cooking with food made by students. Work from basic steps up to different dishes for various occasions.",hobby,Every other Tuesday,S215,/placeholder.svg?key=cooking
Cultural Appreciation Club,"Increase global awareness by examining cultural traditions worldwide. Emphasize art, traditions, language, food, religion, and history. Help plan Berkeley's annual Culture Fest in Spring.",service,"Every other Friday, 12:45-1:20 PM",U250,/placeholder.svg?key=culture
Debate,"Competitive debate at tournaments with the best debaters nationally. Policy debate format with space for students without experience. Intense activity with heavy practice, research, and extensive travel.",academic,Afternoons,S120,/uploads/lost-found-1762802051359.png
Diversity Club,"Open, inclusive space to discuss current events and important issues including race, ethnicity, sexual orientation, religion, mental health, and gender through student-led interactive presentations.",service,Fridays,U143,/placeholder.svg?key=diversity
Diversity Program Team,"Educate and empower the community regarding diversity and inclusion. Create convocation presentations, host division-wide events, and facilitate weekly Diversity Club meetings.",service,Fridays,U143,/placeholder.svg?key=dpt
Fanfare Newspaper,"Be the voice of the student body while developing journalism, multimedia, photography, and digital design skills. Create Berkeley's only student-run online and print newspaper.",arts,Wednesdays at lunch,U142,/placeholder.svg?key=newspaper
Forensic Psychology and Criminology Club,"Explore criminal minds, legal systems, and investigative techniques through court videos, murder mystery games, and interview clips. Interactive discussions about criminology and forensic psychology.",academic,Every other Tuesday,U143,/placeholder.svg?key=forensics
French Club,"Cultivate a vibrant community united by passion for French language and culture. Engage in activities, dialogue, and immersive experiences celebrating Francophone arts, traditions, and contemporary aspects.",hobby,Fridays,U134,/placeholder.svg?key=french
Gardening/Farming Club,"Get hands-on experience growing organic produce, planning crop cycles, researching soil composition, practicing grafting, and meeting local farmers to learn about sustainable agriculture practices.",hobby,Every other Tuesday,G217,/placeholder.svg?key=gardening
Gender and Sexuality Forum,Engage in peaceful discussion surrounding LGBT+ topics. Welcoming space for students to share their identity or learn about peers through informational meetings in a respectful manner.,service,Tuesdays,U142,/placeholder.svg?key=gsf
Guides,Serve as ambassadors for Berkeley representing the school positively. Assist Admissions Office with prospective students and families. Juniors and seniors only after application and training.,service,"Wednesdays, 12:30 PM",Lykes,/placeholder.svg?key=guides
Hearts United in God Club,"Safe and fun space to explore faith through prayers, bible studies, and crafts. All welcome regardless of religious beliefs. Learn about Christianity while centering busy lives in worship and God's love.",service,Every other Friday,G118,/placeholder.svg?key=hug
History Bowl,Quiz bowl answering questions on all types of history. Compete at regional competitions and travel to Washington DC for nationals. Host bi-annual trivia competitions on campus.,academic,Mondays at lunch,U140,/placeholder.svg?key=historybowl
Holy Communion,"Weekly pause to gather for Holy Communion celebration with prayer, Scripture, and music. Time for spiritual reflection and community during the busy school week.",service,"Tuesdays, 12:55-1:15 PM",Berkeley Chapel,/placeholder.svg?key=communion
Homecoming Committee,"Plan Homecoming dance including theme, decorations, music, food, ticket sales, and gym setup. Grade 10 only volunteer opportunity running weekly until the dance.",service,Mondays until dance,TBD,/placeholder.svg?key=homecoming
Honor Council,Uphold and promote the honor code by hearing cases and implementing honor education programs. Meet regularly and as needed to maintain academic integrity.,service,Wednesdays at lunch and as needed,TBD,/placeholder.svg?key=honor
Hoover Writing Center Peer Tutors,Foster conversation and passion for writing through peer tutoring. Help peers become better writers while growing as writers and thinkers. Aim to be the best high school writing center in the country.,academic,TBD at lunch,S201,/placeholder.svg?key=writing
Islamic Cultural Club,"Space to meet, share information and experiences, organize activities, and educate about Islam and Islamic culture. Features food, activities, and discussion topics about Islamic history and society.",service,Every other Wednesday at Lunch,S120,/placeholder.svg?key=islamic
Jewish Culture Club (JCC),"Safe atmosphere where students can learn about Jewish culture and for Jewish students to express religious identity. Present about Jewish holidays and practices, share cultural foods, and host fundraisers.",service,Fridays during lunch,S201,/placeholder.svg?key=jewish
Jolly Rogers,Spirit club for Upper Division that organizes pep rallies and spirit weeks while mobilizing the fan base (the armada) for big athletic events. Increase and promote school spirit and pride.,sports,Email Coach Crawford,TBD,/placeholder.svg?key=spirit
Latin Club,"Celebrate Latin through trivia, fine arts, academic testing, mythology, oral performance, and athletics. Participate in Junior Classical League competitions at regional, state, and national levels.",academic,Fridays during lunch,Jean Ann Cone Library,/placeholder.svg?key=latin
Let's Talk,"Safe haven for open, honest discussions about mental health. Weekly informational meetings providing judgment-free space to share experiences, learn about mental health topics and resources, breaking the stigma.",service,"Mondays, weekly",U119,/placeholder.svg?key=mentalhealth
Marine Biology Club,"Educational and interactive activities about local Marine Biology. Learn about marine dilemmas, local animals, and interact with on-campus Berkeley ponds while protecting campus marine life.",academic,Thursdays at Lunch,G220,/placeholder.svg?key=marine
Masala Mix (Indian Culture Club),Safe atmosphere to learn about South Asian culture and for South Asian heritage students to express identity. Host Holi Festival of Colors and Diwali celebrations with traditional foods and activities.,service,Wednesdays at lunch,Steinbrenner 214,/placeholder.svg?key=masala
Mathematics Club,"Learn math beyond normal curriculum and prepare for local, statewide, and national competitions. Bond as a family while learning together and teaching new problem-solving techniques and methods.",academic,"M-F mornings, 7:00-7:45 AM",Math Classrooms (Gries),/placeholder.svg?key=math
Medical Science Club,"Expand understanding of health science careers through guest speakers, networking with physicians, and learning about medical expertise. Educate Berkeley community about daily health issues and concerns.",academic,Every other Friday,G220,/placeholder.svg?key=medical
Mock Trial,"Further understanding of law, court procedures, and civil liberties while improving public speaking, debate, and acting. Perform in trials as prosecutors, defense attorneys, and witnesses.",academic,Mondays,U250,/placeholder.svg?key=mocktrial
Model Rocket Club,"Focus on science and engineering behind building and launching rockets. Design, build, and launch rockets while learning about rocketry, engineering, and design principles.",technology,"Mondays, 12:45 PM",U135,/placeholder.svg?key=rocket
Model United Nations,"Engage in authentic UN simulations at conferences throughout Florida and the country. Research complex global issues, debate, negotiate, and compromise. Run BUKMUN conferences at Berkeley.",academic,Every other Tuesday at lunch,U141,/placeholder.svg?key=mun
Modern Board Games Club,"Bring students together through games highlighting strategy, art, and theme. Focus on shorter 15-30 minute games and plan school-wide board game competitions to introduce the broader hobby.",hobby,"Mondays, 12:45 PM",G225,/placeholder.svg?key=boardgames
Music Club,Build upon musical and instrumental skills while collaborating with different players. Learn student-selected songs weekly and work together in a band-like fashion using Berkeley's music room.,arts,"Wednesdays, 12:45 PM",G211,/placeholder.svg?key=music
Phoenix Literary Magazine,"Produce a digital literary magazine celebrating creative talents. Showcase original art, fiction, nonfiction, and poetry. Plan writing contests and foster love of writing and literature.",arts,Fridays at lunch,C106,/placeholder.svg?key=literary
Physics and Astronomy Club,"Generate interest in physics through presentations, science documentaries and movies. Prepare students for Physics Olympiad qualifying exam while discussing topics and solving problems.",academic,Mondays at lunch,G209,/placeholder.svg?key=physics
Political Discourse,Intellectual space to discuss current issues and trends in American and Global politics. Promote civil discourse through guided discussions where everyone is welcome and included.,academic,Thursdays,U251,/placeholder.svg?key=politics
Prefects,"Serve as stewards to the school community. Assist faculty in leadership roles, serve as role models, and have authority to report violations and recommend punishment.",service,"Thursdays, 12:50-1:15 PM",Doster,/placeholder.svg?key=prefects
Prom Committee,"Plan and create a memorable dance for junior and senior classes. Integral part of raising money for junior class requiring creativity, hard work, and follow-through.",service,Email Dr. Basu,TBD,/placeholder.svg?key=prom
Robotics,"Design and program robots for specific tasks then compete locally, nationally, and internationally. Integrate STEM while building, programming, and competing. VEX and First Robotics teams available.",technology,"Tuesday & Thursday, 3:30-5:30 PM",G221/G215,/placeholder.svg?key=robotics
Sacred Texts Club,"Inter-faith dialogue and growth through weekly reflection on sacred texts from different religious traditions. Explore wisdom from Judaism, Freemasonry, Zoroastrianism, Sikhism, and many more.",service,Mondays during lunch,Chapel room #107,/placeholder.svg?key=sacredtexts
SADD,"Empower young people to confront risks and pressures in daily life. Foster belonging and promote resiliency, leadership, and advocacy skills for positive life decisions.",service,"2nd/4th Wednesday, 12:45 PM",G112,/placeholder.svg?key=sadd
Science and Environmental Awareness,"Promote environmental awareness and encourage conservation and sustainability. Install solar stations, organize campus and beach cleanups, hold fundraisers, and create environmental art and activities.",service,"Wednesdays during lunch, 12:45 PM",G217,/placeholder.svg?key=environmental
Science Tutors,"Provide free tutoring in biology, chemistry, and physics. Student-led effort with tutors assigned to subjects where they excel. Hours count toward Science Honors Society.",academic,Every day during lunch,G222,/placeholder.svg?key=sciencetutoring
Sequential Arts Club,"Broaden knowledge of animation art forms in a safe environment. Discuss animation types, anime, manga, story development, and character development in 30-minute sessions.",arts,Fridays,G116,/placeholder.svg?key=anime
Spanish Club,"Create understanding and enthusiasm for Spanish-speaking cultures. Celebrate Hispanic culture through music, arts, crafts, movies, and food including salsa lessons, Dia de los Muertos, and cultural presentations.",hobby,"Fridays, 12:45 PM",U133,/placeholder.svg?key=spanish
STOP Club (Standardized Testing),"Provide free resources and strategies to improve standardized test-taking skills. Explore resources, solve practice questions, and learn time management for SAT and ACT.",academic,Tuesdays,G250,/placeholder.svg?key=testing
Student Alumni Relations Committee,"Serve as link between alumni association and current students. Advise on programs, plan Senior Class Gift initiatives, and fundraise for Endowed Alumni Scholarship Fund.",service,"Fridays, 12:45-1:15 PM (Bi-Monthly)",G107,/placeholder.svg?key=alumni
Student Forum,Liaison between student body and administration. Organize events like Battle of the Bucs and social lunches while advocating for peers and improving student experience.,service,Wednesdays,S204,/placeholder.svg?key=forum
Student Library Proctors,"Lead library activities including promotions, marketing, reading festivals, book shelving, monitoring, and running circulation desk. Serve both Berkeley and local/international libraries.",service,Tuesdays at lunch,Cone Library,/placeholder.svg?key=library
Tech Ambassadors,"Provide technology assistance to the community, resolve classroom tech problems, and run technology-based events like video game tournaments. Help in classrooms, technology center, and campus-wide.",technology,Tuesdays,U135,/placeholder.svg?key=tech
Thursday Morning Prayer,"Weekly service of community, prayer, Scripture, and reflection with music led by fellow students. Start the day with spiritual gathering and fellowship.",service,"Thursdays, 7:30-7:55 AM",Berkeley Chapel,/placeholder.svg?key=prayer
Veterinary Medicine Club,"Foster passion for animals and welfare through hands-on experiences, expert discussions, and opportunities to help animals. Explore career possibilities and specializations in veterinary medicine.",academic,Tuesdays at lunch,U134,/placeholder.svg?key=vet
